IDAlumno;Estado;Sexo;Estado_Carrera;TiempoEstudio;Ausencias;CincoF;aplazos;Promedio;ADMINISTRACION Y MERCADOTECNIA;BASES DE DATOS I;BASES DE DATOS II;COMPUTACION I;COMPUTACION II;COMPUTACION III;CONTABILIDAD I;CALCULO I;CALCULO II;CALCULO III;DERECHO INTELECTUAL Y LABORAL;DISENO DE SISTEMA INFORMATICO I;DISENO TECNICO;ELECTRONICA I;EMPRENDEDORISMO;ESTRUCTURA DE DATOS I;ESTRUCTURAS DE LOS LENGUAJES;EVENTOS Y DEPORTES I;EVENTOS Y DEPORTES II;EVENTOS Y DEPORTES III;EVENTOS Y DEPORTES IV;EVENTOS Y DEPORTES V;EVENTOS Y DEPORTES VI;EXPRESION ORAL Y ESCRITA;FISICA I;FISICA II;FISICA III;GEOMETRIA ANALITICA Y VECTORIAL;IDIOMAS I;INFORMATICA I;INGENIERIA DE SOFTWARE I;INGLES II;INGLES III;INGLES I;INVESTIGACION DE OPERACIONES I;LABORATORIO DE IDIOMAS I;LABORATORIO I;LENGUAJE DE PROGRAMACION  I;LENGUAJE DE PROGRAMACION II;LENGUAJE DE PROGRAMACION IV;LENGUAJES DE PROGRAMACION III;MATEMATICA APLICADA;METODOLOGIA DE LA INVESTIGACION I;METODOS NUMERICOS;PROBABILIDADES Y ESTADISTICAS;QUIMICA;REDES DE COMPUTADORAS I;REDES DE COMPUTADORAS II;SISTEMAS OPERATIVOS I;SISTEMAS OPERATIVOS II;TALLER DE HARDWARE I;TALLER DE HARDWARE II;ALGEBRA I;ALGEBRA II;ETICA PROFESIONAL
5386.0;3.0;1.0;0.0;1.0;13.0;0.0;3.0;2.5;2.0;0.0;0.0;2.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;5.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
6268.0;3.0;1.0;0.0;2.0;3.0;0.0;2.0;3.4375;5.0;0.0;0.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0
5302.0;2.0;1.0;0.0;6.0;13.0;2.0;2.0;3.3684210526315788;2.0;4.0;3.0;2.0;5.0;4.0;4.0;2.0;3.0;3.0;5.0;5.0;3.0;4.0;3.0;4.0;2.0;3.0;4.0;4.0;3.0;4.0;5.0;3.0;4.0;4.0;3.0;2.0;4.0;3.0;5.0;5.0;2.0;4.0;2.0;2.0;3.0;4.0;4.0;4.0;4.0;2.0;3.0;2.0;3.0;3.0;5.0;3.0;5.0;5.0;5.0;3.0;3.0;3.0;2.0
5190.0;2.0;1.0;0.0;5.0;7.0;3.0;12.0;2.791044776119403;5.0;3.0;3.0;2.0;3.0;3.0;5.0;2.0;3.0;2.0;5.0;3.0;2.0;4.0;4.0;4.0;2.0;4.0;3.0;4.0;5.0;5.0;4.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;3.0;4.0;4.0;4.0;2.0;2.0;3.0;2.0;3.0;5.0;3.0;2.0;5.0;3.0;3.0;2.0;3.0;3.0;4.0;3.0;4.0;4.0;3.0;2.0;3.0
5317.0;2.0;2.0;0.0;4.0;4.0;0.0;5.0;3.05;4.0;2.0;4.0;2.0;2.0;4.0;4.0;2.0;3.0;2.0;3.0;3.0;5.0;2.0;4.0;5.0;2.0;4.0;4.0;5.0;5.0;3.0;5.0;4.0;3.0;2.0;2.0;2.0;3.0;2.0;2.0;4.0;5.0;5.0;2.0;2.0;4.0;2.0;4.0;4.0;4.0;2.0;3.0;2.0;3.0;4.0;3.0;3.0;5.0;3.0;4.0;3.0;3.0;3.0;2.0
5712.0;2.0;1.0;0.0;3.0;1.0;1.0;3.0;3.603448275862069;5.0;5.0;5.0;3.0;3.0;4.0;4.0;2.0;2.0;3.0;5.0;4.0;2.0;4.0;4.0;4.0;3.0;4.0;5.0;5.0;5.0;5.0;5.0;4.0;3.0;3.0;5.0;4.0;3.0;2.0;4.0;4.0;3.0;5.0;3.0;2.0;3.0;2.0;5.0;5.0;4.0;3.0;4.0;5.0;4.0;2.0;3.0;3.0;4.0;5.0;4.0;4.0;4.0;3.0;3.0
5896.0;4.0;1.0;1.0;5.0;6.0;0.0;5.0;2.466666666666667;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;3.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;5.0;0.0;0.0;2.0;0.0
5703.0;4.0;2.0;0.0;7.0;15.0;0.0;17.0;2.4098360655737703;4.0;3.0;0.0;2.0;2.0;3.0;2.0;1.0;0.0;0.0;4.0;3.0;2.0;3.0;4.0;3.0;2.0;3.0;5.0;5.0;3.0;5.0;5.0;3.0;2.0;2.0;0.0;3.0;3.0;2.0;3.0;2.0;2.0;4.0;0.0;1.0;2.0;2.0;3.0;0.0;4.0;0.0;2.0;0.0;2.0;2.0;2.0;3.0;2.0;3.0;3.0;4.0;3.0;1.0;4.0
5437.0;3.0;1.0;0.0;1.0;11.0;0.0;5.0;2.6666666666666665;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
5188.0;2.0;1.0;0.0;4.0;3.0;2.0;8.0;2.8412698412698414;4.0;2.0;4.0;2.0;3.0;3.0;4.0;2.0;2.0;3.0;5.0;3.0;3.0;5.0;5.0;3.0;3.0;3.0;4.0;4.0;5.0;5.0;5.0;3.0;2.0;2.0;3.0;3.0;2.0;2.0;3.0;3.0;4.0;4.0;2.0;2.0;2.0;2.0;3.0;3.0;2.0;2.0;5.0;2.0;2.0;2.0;3.0;3.0;4.0;3.0;4.0;3.0;4.0;3.0;2.0
